;link;sku_desc;sku_name;price
0;https://makeup.com.ua/product/182877/;Batiste Dry Shampoo Clean and Classic Original;Сухой шампунь;126 ₴
1;https://makeup.com.ua/product/125797/;Comex;Аюрведический шампунь из индийских трав;52 ₴
2;https://makeup.com.ua/product/10727/;Vichy Dercos Anti-Dandruff Advanced Action Shampoo;Шампунь против перхоти интенсивного действия для нормальных и жирных волос;388 ₴
3;https://makeup.com.ua/product/39673/;Daeng Gi Meo Ri Vitalizing Shampoo;Регенерирующий шампунь;544 ₴
4;https://makeup.com.ua/product/585177/;Esthetic House CP-1 Bright Complex Intense Nourishing Shampoo;Протеиновый шампунь с коллагеном;154 ₴
5;https://makeup.com.ua/product/650949/;L'Oreal Professionnel Serie Expert Absolut Repair Gold Quinoa + Protein Shampoo;Шампунь для интенсивного восстановления поврежденных волос;414 ₴
6;https://makeup.com.ua/product/169721/;Сульсена;Шампунь против перхоти;144 ₴
7;https://makeup.com.ua/product/329757/;La'dor Keratin LPP Shampoo;Кератиновый безсульфатный шампунь;182 ₴
8;https://makeup.com.ua/product/473809/;Vichy Dercos Anti-Dandruff Deep Purifying Shampoo;Шампунь-скраб для глубокого очищения кожи головы и волос против устойчивой перхоти и избытка себума;410 ₴
9;https://makeup.com.ua/product/185823/;Batiste Dry Shampoo Fruity and Cherry;Сухой шампунь;66 ₴
10;https://makeup.com.ua/product/202309/;Matrix Total Results Color Obsessed Shampoo;Шампунь для сохранения цвета окрашенных волос;191 ₴
11;https://makeup.com.ua/product/730515/;L'Oreal Professionnel Serie Expert Vitamino Color Resveratrol Shampoo;Шампунь для окрашенных волос;435 ₴
12;https://makeup.com.ua/product/10731/;Vichy Dercos Energising Shampoo;Шампунь тонизирующий с аминексилом;355 ₴
13;https://makeup.com.ua/product/383629/;Vichy Dercos Densi-Solutions Thickening Shampoo;Шампунь для восстановления густоты и объема тонких и ослабленных волос;350 ₴
14;https://makeup.com.ua/product/202445/;Matrix Total Results Mega Sleek Shampoo;Шампунь с маслом Ши для гладкости волос;261 ₴
15;https://makeup.com.ua/product/185851/;Batiste Dry Shampoo Dark and Deep Brown a Hint of Color;Сухой шампунь;143 ₴
16;https://makeup.com.ua/product/790444/;Kerastase Genesis Hydra-Fortifiant Shampoo;Шампунь-ванна для укрепления ослабленных волос;1095 ₴
17;https://makeup.com.ua/product/202341/;Matrix Total Results High Amplify Shampoo;Шампунь с протеинами для объема;259 ₴
18;https://makeup.com.ua/product/100194/;Kerastase Densifique Bain Densite Shampoo;Шампунь-ванна для увеличения густоты волос;1055 ₴
19;https://makeup.com.ua/product/124289/;Daeng Gi Meo Ri Honey Therapy Shampoo;"Шампунь ""Медовая терапия""";704 ₴
20;https://makeup.com.ua/product/185411/;Inebrya Ice Cream Keratin Restructuring Shampoo;Восстанавливающий шампунь с кератином;162 ₴
21;https://makeup.com.ua/product/11097/;Brelil Numero Restructuring Shampoo with Oats;Восстанавливающий шампунь для волос с экстрактом овса;154 ₴
22;https://makeup.com.ua/product/152877/;CHI Argan Oil Plus Moringa Oil Shampoo;Восстанавливающий шампунь;686 ₴
23;https://makeup.com.ua/product/344161/;Сульсена (shm/150ml + paste/75ml);Набор косметический №2;195 ₴
24;https://makeup.com.ua/product/182875/;Batiste Dry Shampoo Coconut and Exotic Tropical;Сухой шампунь;88 ₴
25;https://makeup.com.ua/product/677413/;Dead Sea Collection Men’s Sandalwood Face, Hair & Body Wash 3 in 1;Гель для душа, волос и лица для мужчин;179 ₴
26;https://makeup.com.ua/product/824829/;L'Oreal Professionnel Serie Expert Pro Longer Lengths Renewing Shampoo;Шампунь для восстановления плотности поверхности волос по длине;504 ₴
27;https://makeup.com.ua/product/270709/;Jerden Proff Sulfate Free Shampoo;Шампунь для волос бессульфатный с кератином;153 ₴
28;https://makeup.com.ua/product/974371/;Vichy Dercos PSOlution;Кератолитический шампунь для кожи головы с проявлениями шелушения и зуда;421 ₴
29;https://makeup.com.ua/product/185827/;Batiste Dry Shampoo Heavenly Volume;Сухой шампунь;197 ₴
30;https://makeup.com.ua/product/109233/;Profi style;Бессульфатный шампунь увлажняющий;83 ₴
31;https://makeup.com.ua/product/202313/;Matrix Total Results Color Obsessed So Silver Shampoo;Шампунь для нейтрализации нежелательных желтых полутонов волос оттенков блонд;243 ₴
32;https://makeup.com.ua/product/1137945/;Mr.Scrubber Amazing Ukraine;"Адвент-календарь ""Удивительная Украина""";2249 ₴
33;https://makeup.com.ua/product/470169/;OGX Shampoo Brazilian Keratin Therapy;"Разглаживающий шампунь для укрепления волос ""Бразильский кератин""";268 ₴
34;https://makeup.com.ua/product/34319/;CHI Infra Shampoo;Шампунь Инфра;422 ₴
35;https://makeup.com.ua/product/10726/;Vichy Dercos Anti-Dandruff Treatment Shampoo;Шампунь против перхоти интенсивного действия для сухих волос;357 ₴
36;https://makeup.com.ua/product/182877/;Batiste Dry Shampoo Clean and Classic Original;Сухой шампунь;126 ₴
37;https://makeup.com.ua/product/125797/;Comex;Аюрведический шампунь из индийских трав;52 ₴
38;https://makeup.com.ua/product/10727/;Vichy Dercos Anti-Dandruff Advanced Action Shampoo;Шампунь против перхоти интенсивного действия для нормальных и жирных волос;388 ₴
39;https://makeup.com.ua/product/39673/;Daeng Gi Meo Ri Vitalizing Shampoo;Регенерирующий шампунь;544 ₴
40;https://makeup.com.ua/product/585177/;Esthetic House CP-1 Bright Complex Intense Nourishing Shampoo;Протеиновый шампунь с коллагеном;154 ₴
41;https://makeup.com.ua/product/650949/;L'Oreal Professionnel Serie Expert Absolut Repair Gold Quinoa + Protein Shampoo;Шампунь для интенсивного восстановления поврежденных волос;414 ₴
42;https://makeup.com.ua/product/169721/;Сульсена;Шампунь против перхоти;144 ₴
43;https://makeup.com.ua/product/329757/;La'dor Keratin LPP Shampoo;Кератиновый безсульфатный шампунь;182 ₴
44;https://makeup.com.ua/product/473809/;Vichy Dercos Anti-Dandruff Deep Purifying Shampoo;Шампунь-скраб для глубокого очищения кожи головы и волос против устойчивой перхоти и избытка себума;410 ₴
45;https://makeup.com.ua/product/185823/;Batiste Dry Shampoo Fruity and Cherry;Сухой шампунь;66 ₴
46;https://makeup.com.ua/product/202309/;Matrix Total Results Color Obsessed Shampoo;Шампунь для сохранения цвета окрашенных волос;191 ₴
47;https://makeup.com.ua/product/730515/;L'Oreal Professionnel Serie Expert Vitamino Color Resveratrol Shampoo;Шампунь для окрашенных волос;435 ₴
48;https://makeup.com.ua/product/10731/;Vichy Dercos Energising Shampoo;Шампунь тонизирующий с аминексилом;355 ₴
49;https://makeup.com.ua/product/383629/;Vichy Dercos Densi-Solutions Thickening Shampoo;Шампунь для восстановления густоты и объема тонких и ослабленных волос;350 ₴
50;https://makeup.com.ua/product/202445/;Matrix Total Results Mega Sleek Shampoo;Шампунь с маслом Ши для гладкости волос;261 ₴
51;https://makeup.com.ua/product/185851/;Batiste Dry Shampoo Dark and Deep Brown a Hint of Color;Сухой шампунь;143 ₴
52;https://makeup.com.ua/product/790444/;Kerastase Genesis Hydra-Fortifiant Shampoo;Шампунь-ванна для укрепления ослабленных волос;1095 ₴
53;https://makeup.com.ua/product/202341/;Matrix Total Results High Amplify Shampoo;Шампунь с протеинами для объема;259 ₴
54;https://makeup.com.ua/product/100194/;Kerastase Densifique Bain Densite Shampoo;Шампунь-ванна для увеличения густоты волос;1055 ₴
55;https://makeup.com.ua/product/124289/;Daeng Gi Meo Ri Honey Therapy Shampoo;"Шампунь ""Медовая терапия""";704 ₴
56;https://makeup.com.ua/product/185411/;Inebrya Ice Cream Keratin Restructuring Shampoo;Восстанавливающий шампунь с кератином;162 ₴
57;https://makeup.com.ua/product/11097/;Brelil Numero Restructuring Shampoo with Oats;Восстанавливающий шампунь для волос с экстрактом овса;154 ₴
58;https://makeup.com.ua/product/152877/;CHI Argan Oil Plus Moringa Oil Shampoo;Восстанавливающий шампунь;686 ₴
59;https://makeup.com.ua/product/344161/;Сульсена (shm/150ml + paste/75ml);Набор косметический №2;195 ₴
60;https://makeup.com.ua/product/182875/;Batiste Dry Shampoo Coconut and Exotic Tropical;Сухой шампунь;88 ₴
61;https://makeup.com.ua/product/677413/;Dead Sea Collection Men’s Sandalwood Face, Hair & Body Wash 3 in 1;Гель для душа, волос и лица для мужчин;179 ₴
62;https://makeup.com.ua/product/824829/;L'Oreal Professionnel Serie Expert Pro Longer Lengths Renewing Shampoo;Шампунь для восстановления плотности поверхности волос по длине;504 ₴
63;https://makeup.com.ua/product/270709/;Jerden Proff Sulfate Free Shampoo;Шампунь для волос бессульфатный с кератином;153 ₴
64;https://makeup.com.ua/product/974371/;Vichy Dercos PSOlution;Кератолитический шампунь для кожи головы с проявлениями шелушения и зуда;421 ₴
65;https://makeup.com.ua/product/185827/;Batiste Dry Shampoo Heavenly Volume;Сухой шампунь;197 ₴
66;https://makeup.com.ua/product/109233/;Profi style;Бессульфатный шампунь увлажняющий;83 ₴
67;https://makeup.com.ua/product/202313/;Matrix Total Results Color Obsessed So Silver Shampoo;Шампунь для нейтрализации нежелательных желтых полутонов волос оттенков блонд;243 ₴
68;https://makeup.com.ua/product/1137945/;Mr.Scrubber Amazing Ukraine;"Адвент-календарь ""Удивительная Украина""";2249 ₴
69;https://makeup.com.ua/product/470169/;OGX Shampoo Brazilian Keratin Therapy;"Разглаживающий шампунь для укрепления волос ""Бразильский кератин""";268 ₴
70;https://makeup.com.ua/product/34319/;CHI Infra Shampoo;Шампунь Инфра;422 ₴
71;https://makeup.com.ua/product/10726/;Vichy Dercos Anti-Dandruff Treatment Shampoo;Шампунь против перхоти интенсивного действия для сухих волос;357 ₴
72;https://makeup.com.ua/product/182877/;Batiste Dry Shampoo Clean and Classic Original;Сухой шампунь;126 ₴
73;https://makeup.com.ua/product/125797/;Comex;Аюрведический шампунь из индийских трав;52 ₴
74;https://makeup.com.ua/product/10727/;Vichy Dercos Anti-Dandruff Advanced Action Shampoo;Шампунь против перхоти интенсивного действия для нормальных и жирных волос;388 ₴
75;https://makeup.com.ua/product/39673/;Daeng Gi Meo Ri Vitalizing Shampoo;Регенерирующий шампунь;544 ₴
76;https://makeup.com.ua/product/585177/;Esthetic House CP-1 Bright Complex Intense Nourishing Shampoo;Протеиновый шампунь с коллагеном;154 ₴
77;https://makeup.com.ua/product/650949/;L'Oreal Professionnel Serie Expert Absolut Repair Gold Quinoa + Protein Shampoo;Шампунь для интенсивного восстановления поврежденных волос;414 ₴
78;https://makeup.com.ua/product/169721/;Сульсена;Шампунь против перхоти;144 ₴
79;https://makeup.com.ua/product/329757/;La'dor Keratin LPP Shampoo;Кератиновый безсульфатный шампунь;182 ₴
80;https://makeup.com.ua/product/473809/;Vichy Dercos Anti-Dandruff Deep Purifying Shampoo;Шампунь-скраб для глубокого очищения кожи головы и волос против устойчивой перхоти и избытка себума;410 ₴
81;https://makeup.com.ua/product/185823/;Batiste Dry Shampoo Fruity and Cherry;Сухой шампунь;66 ₴
82;https://makeup.com.ua/product/202309/;Matrix Total Results Color Obsessed Shampoo;Шампунь для сохранения цвета окрашенных волос;191 ₴
83;https://makeup.com.ua/product/730515/;L'Oreal Professionnel Serie Expert Vitamino Color Resveratrol Shampoo;Шампунь для окрашенных волос;435 ₴
84;https://makeup.com.ua/product/10731/;Vichy Dercos Energising Shampoo;Шампунь тонизирующий с аминексилом;355 ₴
85;https://makeup.com.ua/product/383629/;Vichy Dercos Densi-Solutions Thickening Shampoo;Шампунь для восстановления густоты и объема тонких и ослабленных волос;350 ₴
86;https://makeup.com.ua/product/202445/;Matrix Total Results Mega Sleek Shampoo;Шампунь с маслом Ши для гладкости волос;261 ₴
87;https://makeup.com.ua/product/185851/;Batiste Dry Shampoo Dark and Deep Brown a Hint of Color;Сухой шампунь;143 ₴
88;https://makeup.com.ua/product/790444/;Kerastase Genesis Hydra-Fortifiant Shampoo;Шампунь-ванна для укрепления ослабленных волос;1095 ₴
89;https://makeup.com.ua/product/202341/;Matrix Total Results High Amplify Shampoo;Шампунь с протеинами для объема;259 ₴
90;https://makeup.com.ua/product/100194/;Kerastase Densifique Bain Densite Shampoo;Шампунь-ванна для увеличения густоты волос;1055 ₴
91;https://makeup.com.ua/product/124289/;Daeng Gi Meo Ri Honey Therapy Shampoo;"Шампунь ""Медовая терапия""";704 ₴
92;https://makeup.com.ua/product/185411/;Inebrya Ice Cream Keratin Restructuring Shampoo;Восстанавливающий шампунь с кератином;162 ₴
93;https://makeup.com.ua/product/11097/;Brelil Numero Restructuring Shampoo with Oats;Восстанавливающий шампунь для волос с экстрактом овса;154 ₴
94;https://makeup.com.ua/product/152877/;CHI Argan Oil Plus Moringa Oil Shampoo;Восстанавливающий шампунь;686 ₴
